Date of Flight,Time of Departure,Flight Number,DepartureAirport,ArrivalAirport,TaxiFuel,TripFuel,ContingencyFuel,BlockFuel,FinalReserve,Additional Fuel (tonnes),Fuel for other safety rules (tonnes),Discretionary Fuel,Extra Fuel,Reason,Economic tankering category in the flight plan,AlternateFuel,Alternate Arrival Airport,FOB,Air Distance (NM),Carbon Emission (kg)
29/08/2024,14:10:00,215,EDDL,DTMB,0.202,6.178,0.309,8.777,1.2,0.0,0,0.511,0,MaxLandingWeightReached,,0.888,NBE,8.266,965,1.584
28/12/2024,06:25:00,2608,DTTJ,EDDF,0.113,6.495,0.325,9.392,1.2,0.0,0,0.438,0,MaxLandingWeightReached,,1.259,CGN,8.954,1133,1.358
16/11/2024,10:35:00,2609,EDDF,DTTJ,0.126,6.351,0.318,9.606,1.2,0.0,0,0.444,0,MaxLandingWeightReached,,1.611,NBE,9.162,1016,1.376
07/12/2024,11:25:00,2641,EDDL,DTTJ,0.202,6.579,0.329,9.899,1.2,0.0,0,0.531,0,MaxLandingWeightReached,,1.589,MIR,9.368,1094,1.646
11/10/2024,08:50:00,2807,EDDV,DTTJ,0.151,7.44,0.372,10.724,1.2,0.0,0,0.523,0,MaxLandingWeightReached,,1.561,MIR,10.201,1183,1.621
21/12/2024,07:00:00,384,DTTJ,EBBR,0.113,6.968,0.348,9.546,1.2,0.0,0,0.461,0,TankCapacityReached,,0.917,MST,9.085,1260,1.429
02/12/2024,08:00:00,508,DTTJ,LFPG,0.113,6.989,0.349,9.929,1.2,0.0,0,0.462,0,MaxLandingWeightReached,,1.278,ORY,9.467,1089,1.432
17/12/2024,08:00:00,508,DTTJ,LFPG,0.113,7.211,0.361,10.338,1.2,0.0,0,0.474,0,MaxLandingWeightReached,,1.453,LIL,9.864,1128,1.469
23/12/2024,08:00:00,508,DTTJ,LFPG,0.113,7.424,0.371,9.981,1.2,0.0,0,0.484,0,MaxLandingWeightReached,,0.873,ORY,9.497,1194,1.5
28/12/2024,14:00:00,554,DTTJ,LFPG,0.113,7.144,0.357,10.273,1.2,0.0,0,0.47,0,MaxLandingWeightReached,,1.459,LIL,9.803,1116,1.457
29/12/2024,12:40:00,708,DTTJ,LFQQ,0.113,6.64,0.332,9.713,1.2,0.0,0,0.445,0,MaxLandingWeightReached,,1.428,ORY,9.268,1136,1.379
26/10/2024,14:30:00,757,LFQQ,DTTA,0.113,6.625,0.331,9.325,1.2,0.0,0,0.444,0,MaxLandingWeightReached,,1.056,NBE,8.881,1070,1.376
24/12/2024,07:00:00,762,DTTJ,LFQQ,0.113,7.355,0.368,10.095,1.2,0.0,0,0.481,0,TankCapacityReached,,1.059,BRU,9.614,1318,1.491
07/11/2024,07:00:00,7666,DTTJ,EPWA,0.113,7.543,0.377,10.969,1.2,0.0,0,0.49,0,MaxLandingWeightReached,,1.736,KTW,10.479,1198,1.519
12/12/2024,07:00:00,7666,DTTJ,EPWA,0.113,7.388,0.369,10.18,1.2,0.0,0,0.482,0,MaxLandingWeightReached,,1.11,LCJ,9.698,1221,1.494
26/11/2024,07:00:00,166,DTTA,LFSB,0.113,4.651,0.233,7.532,1.2,0.0,0,0.346,0,MaxLandingWeightReached,,1.335,ZRH,7.186,757,1.073
28/12/2024,07:00:00,214,DTMB,EDDL,0.101,6.224,0.311,8.976,1.2,0.0,0,0.412,0,MaxLandingWeightReached,,1.14,CGN,8.564,1069,1.277
08/11/2024,17:35:00,233,EDDB,DTTA,0.189,6.418,0.321,8.955,1.2,0.0,0,0.51,0,MaxLandingWeightReached,,0.827,NBE,8.445,1019,1.581
30/12/2024,13:00:00,234,DTTA,EDDF,0.113,5.439,0.272,8.317,1.2,0.0,0,0.385,0,MaxLandingWeightReached,,1.293,CGN,7.932,884,1.193
17/07/2024,13:30:00,246,DTTA,EDDF,0.113,5.264,0.263,8.103,1.2,0.0,0,0.376,0,MaxLandingWeightReached,,1.263,CGN,7.727,906,1.166
14/08/2024,13:30:00,246,DTTA,EDDF,0.113,5.824,0.291,8.751,1.2,0.0,0,0.404,0,MaxLandingWeightReached,,1.323,CGN,8.347,890,1.252
23/09/2024,13:00:00,258,DTTA,EDDH,0.113,6.417,0.321,9.369,1.2,0.0,0,0.434,0,MaxLandingWeightReached,,1.318,HAJ,8.935,999,1.345
02/11/2024,06:25:00,2608,DTTJ,EDDF,0.113,6.727,0.336,9.735,1.2,0.0,0,0.449,0,MaxLandingWeightReached,,1.359,CGN,9.286,1055,1.392
08/09/2024,06:00:00,396,DTTA,EBBR,0.113,6.244,0.312,8.93,1.2,0.0,0,0.425,0,MaxLandingWeightReached,,1.061,LIL,8.505,946,1.317
08/09/2024,09:30:00,397,EBBR,DTTA,0.163,6.159,0.308,11.347,1.2,2.661,0,0.471,0,price,price,0.856,NBE,10.876,960,1.46
17/10/2024,03:05:00,554,DTTJ,LFPG,0.113,6.503,0.325,9.365,1.2,0.0,0,0.438,0,MaxLandingWeightReached,,1.224,ORY,8.927,1065,1.358
22/10/2024,14:35:00,555,LFPG,DTTJ,0.189,6.826,0.341,10.002,1.2,0.0,0,0.53,0,MaxLandingWeightReached,,1.446,MIR,9.472,1077,1.643
