Date of Flight,Time of Departure,Flight Number,DepartureAirport,ArrivalAirport,TaxiFuel,TripFuel,ContingencyFuel,BlockFuel,FinalReserve,Additional Fuel (tonnes),Fuel for other safety rules (tonnes),Discretionary Fuel,Extra Fuel,Reason,Economic tankering category in the flight plan,AlternateFuel,Alternate Arrival Airport,FOB,Air Distance (NM),Carbon Emission (kg)
01/11/2024,04:30:00,2806,DTTJ,EDDV,0.115,6.782,0.339,9.881,1.2,0.0,0,0.454,0,MaxLandingWeightReached,,1.445,HAM,9.427,1099,1.407
01/11/2024,08:50:00,2807,EDDV,DTTJ,0.154,7.503,0.375,10.746,1.2,0.0,0,0.529,0,MaxLandingWeightReached,,1.514,MIR,10.217,1206,1.64
18/10/2024,13:00:00,2872,DTTJ,EDDP,0.115,6.481,0.324,9.371,1.2,0.0,0,0.439,0,MaxLandingWeightReached,,1.251,BER,8.932,1042,1.361
12/10/2024,18:40:00,2967,EDDL,DTTJ,0.205,6.819,0.341,9.556,1.2,0.0,0,0.546,0,MaxLandingWeightReached,,0.991,SFA,9.01,1111,1.693
23/09/2024,14:10:00,363,EBBR,DTMB,0.166,7.116,0.356,15.638,1.2,5.961,0,0.522,0,price,price,0.839,NBE,15.116,1135,1.618
24/10/2024,09:45:00,508,DTTJ,LFPG,0.115,6.653,0.333,9.55,1.2,0.0,0,0.448,0,MaxLandingWeightReached,,1.249,ORY,9.102,1051,1.389
13/09/2024,20:20:00,521,LFPG,DTTA,0.192,5.227,0.261,13.447,1.2,5.791,0,0.453,0,price,price,0.776,NBE,12.994,795,1.404
25/11/2024,06:30:00,542,DTMB,LFPG,0.102,5.677,0.284,8.564,1.2,0.0,0,0.386,0,MaxLandingWeightReached,,1.301,ORY,8.178,917,1.197
30/10/2024,14:00:00,554,DTTJ,LFPG,0.115,6.741,0.337,9.603,1.2,0.0,0,0.452,0,MaxLandingWeightReached,,1.21,ORY,9.151,1082,1.401
10/04/2024,13:15:00,572,DTMB,LFLL,0.102,4.342,0.217,7.057,1.2,0.0,0,0.319,0,MaxLandingWeightReached,,1.196,GVA,6.738,691,0.989
16/10/2024,02:30:00,702,DTTJ,LFPG,0.115,6.105,0.305,8.962,1.2,0.0,0,0.42,0,MaxLandingWeightReached,,1.237,ORY,8.542,1012,1.302
04/07/2024,02:10:00,7404,DTMB,EPWA,0.102,7.753,0.388,11.261,1.2,0.0,0,0.49,0,MaxLandingWeightReached,,1.818,KRK,10.771,1264,1.519
12/08/2024,02:50:00,748,DTTJ,LFPG,0.115,6.651,0.333,9.528,1.2,0.0,0,0.448,0,MaxLandingWeightReached,,1.229,ORY,9.08,1056,1.389
22/07/2024,06:55:00,749,LFPG,DTTJ,0.192,6.44,0.322,9.178,1.2,0.0,0,0.514,0,MaxLandingWeightReached,,1.024,SFA,8.664,1014,1.593
