Date of Flight,Time of Departure,Flight Number,DepartureAirport,ArrivalAirport,TaxiFuel,TripFuel,ContingencyFuel,BlockFuel,FinalReserve,Additional Fuel (tonnes),Fuel for other safety rules (tonnes),Discretionary Fuel,Extra Fuel,Reason,Economic tankering category in the flight plan,AlternateFuel,Alternate Arrival Airport,FOB,Air Distance (NM),Carbon Emission (kg),Route,Date of operation (UTC),AC registration,Flight ID,ICAO Call sign,AC Type,Flight type,Departing Airport ICAO Code,Departure Time/ Block-off time (UTC),Destination Airport ICAO Code,Arrival Time/ Block-on Time(UTC),Uplift Volume (Litres),Uplift density,Block On (tonnes),Block Off (tonnes)
2024-11-17,06:00:00,204,DTTA,EDDL,0.111,6.087,0.304,8.82,1.2,0.0,0,0.415,0,MaxLandingWeightReached,,1.118,CGN,8.405,991,1.287,DTTA -> EDDL,,,,,,,,,,,,,,
2024-07-31,10:15:00,214,DTMB,EDDL,0.098,6.59,0.33,8.969,1.2,0.0,0,0.428,0,MaxLandingWeightReached,,0.751,MST,8.541,1053,1.327,DTMB -> EDDL,,,,,,,,,,,,,,
2024-09-29,06:15:00,214,DTMB,EDDL,0.098,7.558,0.378,9.968,1.2,0.0,0,0.476,0,MaxLandingWeightReached,,0.734,MST,9.492,1147,1.476,DTMB -> EDDL,,,,,,,,,,,,,,
2024-09-29,10:10:00,215,EDDL,DTMB,0.197,5.892,0.295,10.85,1.2,2.366,0,0.492,0,price,price,0.9,NBE,10.358,905,1.525,EDDL -> DTMB,,,,,,,,,,,,,,
2024-06-29,13:35:00,2423,EDDB,DTTJ,0.185,7.401,0.37,10.712,1.2,0.0,0,0.555,0,MaxLandingWeightReached,,1.556,MIR,10.157,1208,1.72,EDDB -> DTTJ,,,,,,,,,,,,,,
2024-11-29,13:15:00,2598,DTMB,EDDV,0.098,7.16,0.358,10.238,1.2,0.0,0,0.456,0,MaxLandingWeightReached,,1.422,HAM,9.782,1191,1.414,DTMB -> EDDV,,,,,,,,,,,,,,
2024-07-19,08:15:00,281,EDDM,DTTA,0.16,4.645,0.232,7.067,1.2,0.0,0,0.392,0,MaxLandingWeightReached,,0.83,NBE,6.675,711,1.215,EDDM -> DTTA,,,,,,,,,,,,,,
2024-10-27,02:15:00,2972,DTTJ,EDDL,0.111,6.691,0.335,9.597,1.2,0.0,0,0.446,0,MaxLandingWeightReached,,1.26,CGN,9.151,1073,1.383,DTTJ -> EDDL,,,,,,,,,,,,,,
2024-08-28,09:00:00,397,EBBR,DTTA,0.16,5.675,0.284,14.122,1.2,6.027,0,0.444,0,price,price,0.776,NBE,13.678,924,1.376,EBBR -> DTTA,,,,,,,,,,,,,,
2024-10-15,06:00:00,510,DTTA,LFPG,0.111,5.302,0.265,8.106,1.2,0.0,0,0.376,0,MaxLandingWeightReached,,1.228,ORY,7.73,870,1.166,DTTA -> LFPG,,,,,,,,,,,,,,
2024-12-09,09:35:00,595,LFMN,DTMB,0.098,3.453,0.2,5.806,1.2,0.0,0,0.298,0,MaxLandingWeightReached,,0.855,NBE,5.508,521,0.924,LFMN -> DTMB,,,,,,,,,,,,,,
2024-05-02,02:00:00,7404,DTMB,EPWA,0.111,6.395,0.32,9.78,1.2,0.0,0,0.431,0,MaxLandingWeightReached,,1.754,POZ,9.349,1069,1.336,DTMB -> EPWA,,,,,,,,,,,,,,
2024-06-20,14:30:00,763,LFQQ,DTTJ,0.111,7.759,0.388,10.427,1.2,0.0,0,0.499,0,MaxLandingWeightReached,,0.969,SFA,9.928,1296,1.547,LFQQ -> DTTJ,,,,,,,,,,,,,,
2024-12-25,07:00:00,776,DTTA,LFST,0.111,5.367,0.268,7.96,1.2,0.0,0,0.379,0,price,price,1.014,BSL,7.581,906,1.175,DTTA -> LFST,,,,,,,,,,,,,,
2024-12-25,10:05:00,777,LFST,DTTA,0.086,4.644,0.232,6.914,1.2,0.0,0,0.318,0,MaxLandingWeightReached,,0.752,NBE,6.596,741,0.986,LFST -> DTTA,,,,,,,,,,,,,,
2024-11-12,07:40:00,844,DTTA,EGKK,0.111,5.6,0.28,8.257,1.2,0.0,0,0.391,0,MaxLandingWeightReached,,1.066,STN,7.866,996,1.212,DTTA -> EGKK,,,,,,,,,,,,,,
2024-06-08,18:30:00,845,EGKK,DTTA,0.185,6.313,0.316,8.918,1.2,0.0,0,0.501,0,MaxLandingWeightReached,,0.904,NBE,8.417,1053,1.553,EGKK -> DTTA,,,,,,,,,,,,,,
2024-12-16,11:00:00,718,DTMB,LFPO,0.098,4.763,0.238,7.218,1.2,0.0,0,0.336,0,TankCapacityReached,,0.919,CDG,6.882,950,1.042,DTMB -> LFPO,,,,,,,,,,,,,,
2024-05-02,23:25:00,066,DTTA,DTMB,0.112,0.925,0.2,3.195,1.2,0.0,0,0.312,0,price,price,0.758,NBE,2.883,104,0.967,DTTA -> DTMB,,,,,,,,,,,,,,
