Date of Flight,Time of Departure,Flight Number,DepartureAirport,ArrivalAirport,TaxiFuel,TripFuel,ContingencyFuel,BlockFuel,FinalReserve,Additional Fuel (tonnes),Fuel for other safety rules (tonnes),Discretionary Fuel,Extra Fuel,Reason,Economic tankering category in the flight plan,AlternateFuel,Alternate Arrival Airport,FOB,Air Distance (NM),Carbon Emission (kg),Route,Date of operation (UTC),AC registration,Flight ID,ICAO Call sign,AC Type,Flight type,Departing Airport ICAO Code,Departure Time/ Block-off time (UTC),Destination Airport ICAO Code,Arrival Time/ Block-on Time(UTC),Uplift Volume (Litres),Uplift density,Block On (tonnes),Block Off (tonnes)
2024-11-17,07:00:00,640,DTTA,LTFM,0.158,4.863,0.243,7.274,1.0,0.0,0,0.401,0,MaxLandingWeightReached,,1.01,TEQ,6.873,998,1.243,DTTA -> LTFM,,,,,,,,,,,,,,
2024-11-19,06:00:00,640,DTTA,LTFM,0.158,4.701,0.235,7.242,1.0,0.0,0,0.393,0,MaxLandingWeightReached,,1.148,TEQ,6.849,946,1.218,DTTA -> LTFM,,,,,,,,,,,,,,
2024-11-22,06:00:00,640,DTTA,LTFM,0.158,4.413,0.221,6.976,1.0,0.0,0,0.379,0,MaxLandingWeightReached,,1.184,TEQ,6.597,909,1.175,DTTA -> LTFM,,,,,,,,,,,,,,
2024-11-17,10:45:00,641,LTFM,DTTA,0.263,4.811,0.241,7.002,1.0,0.0,0,0.504,0,MaxLandingWeightReached,,0.687,NBE,6.498,962,1.562,LTFM -> DTTA,,,,,,,,,,,,,,
2024-11-24,10:45:00,641,LTFM,DTTA,0.263,4.687,0.234,6.889,1.0,0.0,0,0.497,0,MaxLandingWeightReached,,0.705,NBE,6.392,957,1.541,LTFM -> DTTA,,,,,,,,,,,,,,
2024-12-30,13:30:00,776,DTTA,LFST,0.095,4.066,0.203,6.285,1.0,0.0,0,0.298,0,price,price,0.921,BSL,5.987,803,0.924,DTTA -> LFST,,,,,,,,,,,,,,
2024-08-21,06:00:00,204,DTTA,EDDL,0.115,6.242,0.312,8.962,1.2,0.0,0,0.427,0,MaxLandingWeightReached,,1.093,MST,8.535,982,1.324,DTTA -> EDDL,,,,,,,,,,,,,,
2024-08-21,09:40:00,205,EDDL,DTTA,0.205,5.231,0.262,7.643,1.2,0.0,0,0.467,0,TankCapacityReached,,0.745,NBE,7.176,937,1.448,EDDL -> DTTA,,,,,,,,,,,,,,
2024-09-29,09:10:00,205,EDDL,DTTA,0.205,5.315,0.266,7.803,1.2,0.0,0,0.471,0,MaxLandingWeightReached,,0.817,NBE,7.332,829,1.46,EDDL -> DTTA,,,,,,,,,,,,,,
2024-11-23,10:55:00,215,EDDL,DTMB,0.205,5.956,0.298,8.546,1.2,0.0,0,0.503,0,MaxLandingWeightReached,,0.887,NBE,8.043,946,1.559,EDDL -> DTMB,,,,,,,,,,,,,,
2024-11-08,13:15:00,2598,DTMB,EDDV,0.102,6.436,0.322,9.488,1.2,0.0,0,0.424,0,MaxLandingWeightReached,,1.428,HAM,9.064,1030,1.314,DTMB -> EDDV,,,,,,,,,,,,,,
2024-10-05,11:45:00,2636,DTMB,EDDF,0.102,6.728,0.336,9.67,1.2,0.0,0,0.438,0,MaxLandingWeightReached,,1.304,CGN,9.232,1055,1.358,DTMB -> EDDF,,,,,,,,,,,,,,
2024-04-28,09:50:00,397,EBBR,DTTA,0.166,6.357,0.318,10.595,1.2,1.5,0,0.484,0,price,price,1.054,NBE,10.111,997,1.5,EBBR -> DTTA,,,,,,,,,,,,,,
2024-12-01,14:30:00,542,DTMB,LFPG,0.102,6.406,0.32,9.304,1.2,0.0,0,0.422,0,MaxLandingWeightReached,,1.276,ORY,8.882,1005,1.308,DTMB -> LFPG,,,,,,,,,,,,,,
2024-12-15,16:00:00,588,DTTJ,LFML,0.115,4.599,0.23,7.637,1.2,0.0,0,0.345,0,MaxLandingWeightReached,,1.493,NCE,7.292,720,1.069,DTTJ -> LFML,,,,,,,,,,,,,,
2024-11-23,14:30:00,594,DTMB,LFMN,0.102,3.65,0.2,6.786,1.2,0.0,0,0.302,0,MaxLandingWeightReached,,1.634,MRS,6.484,580,0.936,DTMB -> LFMN,,,,,,,,,,,,,,
2024-11-23,17:05:00,595,LFMN,DTMB,0.102,3.458,0.2,5.822,1.2,0.0,0,0.302,0,MaxLandingWeightReached,,0.862,NBE,5.52,517,0.936,LFMN -> DTMB,,,,,,,,,,,,,,
2024-12-24,14:00:00,598,DTTA,LFLL,0.115,4.315,0.216,7.048,1.2,0.0,0,0.331,0,MaxLandingWeightReached,,1.202,GVA,6.717,699,1.026,DTTA -> LFLL,,,,,,,,,,,,,,
2024-12-09,06:00:00,640,DTTA,LTFM,0.115,5.11,0.256,8.08,1.2,0.0,0,0.371,0,MaxLandingWeightReached,,1.399,TEQ,7.709,876,1.15,DTTA -> LTFM,,,,,,,,,,,,,,
2024-10-16,08:45:00,730,DTTJ,LFPG,0.115,5.385,0.269,8.076,1.2,0.0,0,0.384,0,TankCapacityReached,,1.107,ORY,7.692,1045,1.19,DTTJ -> LFPG,,,,,,,,,,,,,,
2024-12-29,02:00:00,774,DTTJ,LFQQ,0.115,5.835,0.292,8.4,1.2,0.0,0,0.407,0,TankCapacityReached,,0.958,BRU,7.993,1135,1.262,DTTJ -> LFQQ,,,,,,,,,,,,,,
2024-05-30,15:30:00,844,DTTA,EGKK,0.115,6.747,0.337,9.53,1.2,0.0,0,0.452,0,MaxLandingWeightReached,,1.131,STN,9.078,1071,1.401,DTTA -> EGKK,,,,,,,,,,,,,,
2024-08-29,14:10:00,215,EDDL,DTMB,0.202,6.178,0.309,8.777,1.2,0.0,0,0.511,0,MaxLandingWeightReached,,0.888,NBE,8.266,965,1.584,EDDL -> DTMB,,,,,,,,,,,,,,
2024-12-28,06:25:00,2608,DTTJ,EDDF,0.113,6.495,0.325,9.392,1.2,0.0,0,0.438,0,MaxLandingWeightReached,,1.259,CGN,8.954,1133,1.358,DTTJ -> EDDF,,,,,,,,,,,,,,
2024-11-16,10:35:00,2609,EDDF,DTTJ,0.126,6.351,0.318,9.606,1.2,0.0,0,0.444,0,MaxLandingWeightReached,,1.611,NBE,9.162,1016,1.376,EDDF -> DTTJ,,,,,,,,,,,,,,
2024-12-07,11:25:00,2641,EDDL,DTTJ,0.202,6.579,0.329,9.899,1.2,0.0,0,0.531,0,MaxLandingWeightReached,,1.589,MIR,9.368,1094,1.646,EDDL -> DTTJ,,,,,,,,,,,,,,
2024-10-11,08:50:00,2807,EDDV,DTTJ,0.151,7.44,0.372,10.724,1.2,0.0,0,0.523,0,MaxLandingWeightReached,,1.561,MIR,10.201,1183,1.621,EDDV -> DTTJ,,,,,,,,,,,,,,
2024-12-21,07:00:00,384,DTTJ,EBBR,0.113,6.968,0.348,9.546,1.2,0.0,0,0.461,0,TankCapacityReached,,0.917,MST,9.085,1260,1.429,DTTJ -> EBBR,,,,,,,,,,,,,,
2024-12-02,08:00:00,508,DTTJ,LFPG,0.113,6.989,0.349,9.929,1.2,0.0,0,0.462,0,MaxLandingWeightReached,,1.278,ORY,9.467,1089,1.432,DTTJ -> LFPG,,,,,,,,,,,,,,
2024-12-17,08:00:00,508,DTTJ,LFPG,0.113,7.211,0.361,10.338,1.2,0.0,0,0.474,0,MaxLandingWeightReached,,1.453,LIL,9.864,1128,1.469,DTTJ -> LFPG,,,,,,,,,,,,,,
2024-12-23,08:00:00,508,DTTJ,LFPG,0.113,7.424,0.371,9.981,1.2,0.0,0,0.484,0,MaxLandingWeightReached,,0.873,ORY,9.497,1194,1.5,DTTJ -> LFPG,,,,,,,,,,,,,,
2024-12-28,14:00:00,554,DTTJ,LFPG,0.113,7.144,0.357,10.273,1.2,0.0,0,0.47,0,MaxLandingWeightReached,,1.459,LIL,9.803,1116,1.457,DTTJ -> LFPG,,,,,,,,,,,,,,
2024-12-29,12:40:00,708,DTTJ,LFQQ,0.113,6.64,0.332,9.713,1.2,0.0,0,0.445,0,MaxLandingWeightReached,,1.428,ORY,9.268,1136,1.379,DTTJ -> LFQQ,,,,,,,,,,,,,,
2024-10-26,14:30:00,757,LFQQ,DTTA,0.113,6.625,0.331,9.325,1.2,0.0,0,0.444,0,MaxLandingWeightReached,,1.056,NBE,8.881,1070,1.376,LFQQ -> DTTA,,,,,,,,,,,,,,
2024-12-24,07:00:00,762,DTTJ,LFQQ,0.113,7.355,0.368,10.095,1.2,0.0,0,0.481,0,TankCapacityReached,,1.059,BRU,9.614,1318,1.491,DTTJ -> LFQQ,,,,,,,,,,,,,,
2024-11-07,07:00:00,7666,DTTJ,EPWA,0.113,7.543,0.377,10.969,1.2,0.0,0,0.49,0,MaxLandingWeightReached,,1.736,KTW,10.479,1198,1.519,DTTJ -> EPWA,,,,,,,,,,,,,,
2024-12-12,07:00:00,7666,DTTJ,EPWA,0.113,7.388,0.369,10.18,1.2,0.0,0,0.482,0,MaxLandingWeightReached,,1.11,LCJ,9.698,1221,1.494,DTTJ -> EPWA,,,,,,,,,,,,,,
2024-11-26,07:00:00,166,DTTA,LFSB,0.113,4.651,0.233,7.532,1.2,0.0,0,0.346,0,MaxLandingWeightReached,,1.335,ZRH,7.186,757,1.073,DTTA -> LFSB,,,,,,,,,,,,,,
2024-12-28,07:00:00,214,DTMB,EDDL,0.101,6.224,0.311,8.976,1.2,0.0,0,0.412,0,MaxLandingWeightReached,,1.14,CGN,8.564,1069,1.277,DTMB -> EDDL,,,,,,,,,,,,,,
2024-11-08,17:35:00,233,EDDB,DTTA,0.189,6.418,0.321,8.955,1.2,0.0,0,0.51,0,MaxLandingWeightReached,,0.827,NBE,8.445,1019,1.581,EDDB -> DTTA,,,,,,,,,,,,,,
2024-12-30,13:00:00,234,DTTA,EDDF,0.113,5.439,0.272,8.317,1.2,0.0,0,0.385,0,MaxLandingWeightReached,,1.293,CGN,7.932,884,1.193,DTTA -> EDDF,,,,,,,,,,,,,,
2024-07-17,13:30:00,246,DTTA,EDDF,0.113,5.264,0.263,8.103,1.2,0.0,0,0.376,0,MaxLandingWeightReached,,1.263,CGN,7.727,906,1.166,DTTA -> EDDF,,,,,,,,,,,,,,
2024-08-14,13:30:00,246,DTTA,EDDF,0.113,5.824,0.291,8.751,1.2,0.0,0,0.404,0,MaxLandingWeightReached,,1.323,CGN,8.347,890,1.252,DTTA -> EDDF,,,,,,,,,,,,,,
2024-09-23,13:00:00,258,DTTA,EDDH,0.113,6.417,0.321,9.369,1.2,0.0,0,0.434,0,MaxLandingWeightReached,,1.318,HAJ,8.935,999,1.345,DTTA -> EDDH,,,,,,,,,,,,,,
2024-11-02,06:25:00,2608,DTTJ,EDDF,0.113,6.727,0.336,9.735,1.2,0.0,0,0.449,0,MaxLandingWeightReached,,1.359,CGN,9.286,1055,1.392,DTTJ -> EDDF,,,,,,,,,,,,,,
2024-09-08,06:00:00,396,DTTA,EBBR,0.113,6.244,0.312,8.93,1.2,0.0,0,0.425,0,MaxLandingWeightReached,,1.061,LIL,8.505,946,1.317,DTTA -> EBBR,,,,,,,,,,,,,,
2024-09-08,09:30:00,397,EBBR,DTTA,0.163,6.159,0.308,11.347,1.2,2.661,0,0.471,0,price,price,0.856,NBE,10.876,960,1.46,EBBR -> DTTA,,,,,,,,,,,,,,
2024-10-17,03:05:00,554,DTTJ,LFPG,0.113,6.503,0.325,9.365,1.2,0.0,0,0.438,0,MaxLandingWeightReached,,1.224,ORY,8.927,1065,1.358,DTTJ -> LFPG,,,,,,,,,,,,,,
2024-10-22,14:35:00,555,LFPG,DTTJ,0.189,6.826,0.341,10.002,1.2,0.0,0,0.53,0,MaxLandingWeightReached,,1.446,MIR,9.472,1077,1.643,LFPG -> DTTJ,,,,,,,,,,,,,,
