Date of operation (UTC),AC registration,Flight ID,ICAO Call sign,AC Type,Flight type,Departing Airport ICAO Code,Departure Time/ Block-off time (UTC),Destination Airport ICAO Code,Arrival Time/ Block-on Time(UTC),Uplift Volume (Litres),Uplift density,Block On (tonnes),Block Off (tonnes)
16/06/2020,EAC,702,BJ,320,J,DTTJ,2020-06-16 16:10:00,,2020-06-16 19:00:00,9600,0.782999992370605,11017,4400
16/06/2020,EAC,703,BJ,320,J,,2020-06-16 20:10:00,DTTJ,2020-06-16 23:00:00,7612,0.800000011920929,10490,3500
17/06/2020,EAC,740,BJ,320,J,DTTJ,2020-06-17 03:45:00,LFBO,2020-06-17 06:10:00,6330,0.785000026226044,8469,3320
17/06/2020,EAC,741,BJ,320,J,LFBO,2020-06-17 07:10:00,DTTJ,2020-06-17 09:20:00,11265,0.788999974727631,12208,7268
17/06/2020,EAC,554,BJ,320,J,DTTJ,2020-06-17 11:00:00,,2020-06-17 13:45:00,4700,0.782000005245209,10943,4400
17/06/2020,EAC,555,BJ,320,J,,2020-06-17 14:35:00,DTTJ,2020-06-17 17:35:00,11331,0.791000008583069,13363,6200
18/06/2020,EAC,2306,BJ,320,C,DTTJ,2020-06-18 02:40:00,LOWW,2020-06-18 05:15:00,4460,0.782999992370605,9692,3900
18/06/2020,EAC,2307,BJ,320,C,LOWW,2020-06-18 06:40:00,DTTJ,2020-06-18 09:15:00,7142,0.778999984264374,9464,3420
18/06/2020,EAC,736,BJ,320,J,DTTJ,2020-06-18 13:18:00,LFRS,2020-06-18 15:56:00,8900,0.800000011920929,10540,4300
18/06/2020,EAC,737,BJ,320,J,LFRS,2020-06-18 17:35:00,DTTJ,2020-06-18 20:21:00,7001,0.795000016689301,9866,3420
19/06/2020,EAC,7666,BJ,320,C,DTTJ,2020-06-19 01:20:00,EPWA,2020-06-19 04:35:00,11100,0.787999987602234,12167,4120
19/06/2020,EAC,7667,BJ,320,C,EPWA,2020-06-19 06:15:00,DTTJ,2020-06-19 09:35:00,8658,0.799000024795532,11038,3020
19/06/2020,EAC,702,BJ,320,J,DTTJ,2020-06-19 10:45:00,,2020-06-19 13:30:00,9700,0.779999971389771,10586,3900
19/06/2020,EAC,703,BJ,320,J,,2020-06-19 14:45:00,DTTJ,2020-06-19 17:55:00,8295,0.790000021457672,10453,3200
20/06/2020,EAC,2872,BJ,320,C,DTTJ,2020-06-20 04:55:00,EDDP,2020-06-20 07:45:00,8830,0.782000005245209,10105,4060
20/06/2020,EAC,2873,BJ,320,C,EDDP,2020-06-20 09:10:00,DTTJ,2020-06-20 12:17:00,9054,0.800000011920929,11303,3700
20/06/2020,EAC,2806,BJ,320,C,DTTJ,2020-06-20 14:00:00,EDDV,2020-06-20 16:50:00,10250,0.779999971389771,11695,4600
20/06/2020,EAC,2807,BJ,320,C,EDDV,2020-06-20 18:10:00,DTTJ,2020-06-20 21:30:00,8327,0.811999976634979,11362,3400
21/06/2020,EAC,2608,BJ,320,J,DTTJ,2020-06-21 05:00:00,EDDF,2020-06-21 07:43:00,10530,0.782999992370605,11645,5140
21/06/2020,EAC,2609,BJ,320,J,EDDF,2020-06-21 09:15:00,DTTJ,2020-06-21 12:13:00,5470,0.796999990940094,9500,2940
21/06/2020,EAC,508,BJ,320,J,DTTJ,2020-06-21 14:00:00,,2020-06-21 16:55:00,10900,0.783999979496002,11486,4300
21/06/2020,EAC,509,BJ,320,J,,2020-06-21 18:10:00,DTTJ,2020-06-21 20:45:00,7272,0.800000011920929,10118,3900
22/06/2020,EAC,704,BJ,320,J,DTTJ,2020-06-22 04:45:00,LFRS,2020-06-22 07:40:00,9650,0.782000005245209,11446,4700
22/06/2020,EAC,705,BJ,320,J,LFRS,2020-06-22 08:35:00,DTTJ,2020-06-22 11:15:00,6287,0.791999995708466,9679,3500
22/06/2020,EAC,736,BJ,320,J,DTTJ,2020-06-22 12:35:00,LFRS,2020-06-22 15:23:00,9350,0.782000005245209,10812,3980
22/06/2020,EAC,737,BJ,320,J,LFRS,2020-06-22 16:10:00,DTTJ,2020-06-22 18:50:00,6358,0.791999995708466,9016,3380
23/06/2020,EAC,554,BJ,320,J,DTTJ,2020-06-23 05:55:00,,2020-06-23 08:50:00,9150,0.781000018119812,10526,3500
23/06/2020,EAC,555,BJ,320,J,,2020-06-23 10:00:00,DTTJ,2020-06-23 12:40:00,7930,0.791999995708466,9781,3200
23/06/2020,EAC,2022,BJ,320,J,DTTJ,2020-06-23 13:50:00,EDDL,2020-06-23 16:50:00,9850,0.787999987602234,10962,3600
23/06/2020,EAC,2023,BJ,320,J,EDDL,2020-06-23 18:00:00,DTTJ,2020-06-23 20:55:00,9155,0.802999973297119,10951,3700
24/06/2020,EAC,762,BJ,320,J,DTTJ,2020-06-24 10:05:00,LFQQ,2020-06-24 13:00:00,9750,0.781000018119812,11315,3800
24/06/2020,EAC,763,BJ,320,J,LFQQ,2020-06-24 14:25:00,DTTJ,2020-06-24 17:30:00,9045,0.800000011920929,11036,3600
24/06/2020,EAC,770,BJ,320,J,DTTJ,2020-06-24 18:20:00,LFBD,2020-06-24 21:00:00,7430,0.779999971389771,9395,3300
24/06/2020,EAC,771,BJ,320,J,LFBD,2020-06-24 21:50:00,DTTJ,2020-06-25 00:10:00,6587,0.791999995708466,8517,3200
25/06/2020,EAC,702,BJ,320,J,DTTJ,2020-06-25 02:15:00,,2020-06-25 05:05:00,9900,0.782000005245209,10942,4800
25/06/2020,EAC,703,BJ,320,J,,2020-06-25 06:32:00,DTTJ,2020-06-25 09:13:00,6635,0.792999982833862,10062,3700
25/06/2020,EAC,736,BJ,320,J,DTTJ,2020-06-25 10:05:00,LFRS,2020-06-25 12:58:00,8520,0.782000005245209,10363,3560
25/06/2020,EAC,737,BJ,320,J,LFRS,2020-06-25 14:00:00,DTTJ,2020-06-25 16:33:00,7606,0.790000021457672,9569,3500
25/06/2020,EAC,6846,BJ,320,C,DTTJ,2020-06-25 17:50:00,LPPT,2020-06-25 20:50:00,11050,0.782000005245209,12141,4400
25/06/2020,EAC,6847,BJ,320,C,LPPT,2020-06-25 22:05:00,DTTJ,2020-06-26 00:55:00,7973,0.800999999046326,10786,4100
26/06/2020,EAC,702,BJ,320,J,DTTJ,2020-06-26 10:34:00,,2020-06-26 13:27:00,8100,0.781000018119812,10426,3540
26/06/2020,EAC,703,BJ,320,J,,2020-06-26 14:34:00,DTTJ,2020-06-26 17:18:00,8207,0.792999982833862,10048,3360
27/06/2020,EAC,2806,BJ,320,C,DTTJ,2020-06-27 04:30:00,EDDV,2020-06-27 07:40:00,11100,0.779999971389771,12018,4200
27/06/2020,EAC,2807,BJ,320,C,EDDV,2020-06-27 09:00:00,DTTJ,2020-06-27 11:55:00,7956,0.800000011920929,10565,3580
27/06/2020,EAC,2872,BJ,320,C,DTTJ,2020-06-27 13:17:00,EDDP,2020-06-27 16:11:00,9630,0.779999971389771,11091,3800
27/06/2020,EAC,2873,BJ,320,C,EDDP,2020-06-27 17:13:00,DTTJ,2020-06-27 20:02:00,8606,0.800000011920929,10685,3900
28/06/2020,EAC,2640,BJ,320,J,DTTJ,2020-06-28 05:55:00,EDDL,2020-06-28 08:55:00,8900,0.779999971389771,10842,3500
28/06/2020,EAC,2641,BJ,320,J,EDDL,2020-06-28 10:45:00,DTTJ,2020-06-28 13:45:00,9474,0.800000011920929,11079,3680
28/06/2020,EAC,508,BJ,320,J,DTTJ,2020-06-28 15:09:00,,2020-06-28 18:23:00,10700,0.779999971389771,12026,3700
28/06/2020,EAC,509,BJ,320,J,,2020-06-28 19:22:00,DTTJ,2020-06-28 22:09:00,8748,0.791000008583069,10620,3900
29/06/2020,EAC,704,BJ,320,J,DTTJ,2020-06-29 05:05:00,LFRS,2020-06-29 08:00:00,8800,0.779999971389771,10764,4120
29/06/2020,EAC,705,BJ,320,J,LFRS,2020-06-29 08:55:00,DTTJ,2020-06-29 11:30:00,7061,0.795000016689301,9733,3820
29/06/2020,EAC,762,BJ,320,J,DTTJ,2020-06-29 13:10:00,LFQQ,2020-06-29 16:04:00,9700,0.77700001001358,11357,4040
29/06/2020,EAC,763,BJ,320,J,LFQQ,2020-06-29 17:03:00,DTTJ,2020-06-29 19:53:00,8689,0.796999990940094,10965,4140
30/06/2020,EAC,134,BJ,320,J,DTTJ,2020-06-30 09:05:00,LFSB,2020-06-30 11:30:00,7000,0.778999984264374,9593,3900
30/06/2020,EAC,135,BJ,320,J,LFSB,2020-06-30 12:30:00,DTTJ,2020-06-30 15:09:00,5839,0.800000011920929,8571,3000
30/06/2020,EAC,702,BJ,320,J,DTTJ,2020-06-30 16:00:00,,2020-06-30 18:50:00,10078,0.774999976158142,10810,4200
30/06/2020,EAC,703,BJ,320,J,,2020-06-30 19:57:00,DTTJ,2020-06-30 22:35:00,7349,0.791000008583069,10013,3740
01/07/2020,EAC,7614,BJ,320,C,DTTJ,2020-07-01 02:20:00,EPKT,2020-07-01 05:00:00,8750,0.800000011920929,10740,3500
01/07/2020,EAC,7615,BJ,320,C,EPKT,2020-07-01 06:42:00,DTTJ,2020-07-01 09:40:00,9871,0.795000016689301,11347,3800
01/07/2020,EAC,770,BJ,320,J,DTTJ,2020-07-01 17:55:00,LFBD,2020-07-01 20:33:00,8262,0.778999984264374,10236,3920
01/07/2020,EAC,771,BJ,320,J,LFBD,2020-07-01 21:35:00,DTTJ,2020-07-01 23:55:00,6499,0.791999995708466,9067,3820
02/07/2020,EAC,702,BJ,320,J,DTTJ,2020-07-02 02:15:00,,2020-07-02 05:15:00,9200,0.779999971389771,10996,4680
02/07/2020,EAC,703,BJ,320,J,,2020-07-02 06:20:00,DTTJ,2020-07-02 08:55:00,7235,0.791000008583069,10403,4120
02/07/2020,EAC,736,BJ,320,J,DTTJ,2020-07-02 10:50:00,LFRS,2020-07-02 13:50:00,9740,0.779999971389771,11717,4200
02/07/2020,EAC,737,BJ,320,J,LFRS,2020-07-02 14:40:00,DTTJ,2020-07-02 17:05:00,6843,0.792999982833862,9626,3460
03/07/2020,EAC,7666,BJ,320,C,DTTJ,2020-07-03 01:25:00,EPWA,2020-07-03 04:45:00,11700,0.779999971389771,12586,4080
03/07/2020,EAC,7667,BJ,320,C,EPWA,2020-07-03 06:20:00,DTTJ,2020-07-03 09:20:00,8310,0.790000021457672,10645,3280
03/07/2020,EAC,574,BJ,320,J,DTTJ,2020-07-03 10:35:00,LFLL,2020-07-03 12:56:00,8650,0.778999984264374,10018,4420
03/07/2020,EAC,575,BJ,320,J,LFLL,2020-07-03 14:05:00,DTTJ,2020-07-03 16:17:00,5918,0.790000021457672,9095,3800
