"Date of operation (UTC)","AC registration","Flight ID","ICAO Call sign","AC Type","Flight type","Departing Airport ICAO Code","Departure Time/ Block-off time (UTC)","Destination Airport ICAO Code","Arrival Time/ Block-on Time(UTC)","Uplift Volume (Litres)","Uplift density","Block On (tonnes)","Block Off (tonnes)","UpdatedAt"
"15/06/2020","EAC","0705","BJ",320,"J","LFRS",43997.36111111111,"DTTJ",43997.46875,7157,0.796999990940094,10004,3700,"2025-05-01T17:00:00.125Z"
"15/06/2020","EAC","0762","BJ",320,"J","DTTJ",43997.53819444445,"LFQQ",43997.66527777778,9335,0.782000005245209,11000,3860,"2025-05-01T17:00:00.125Z"
"15/06/2020","EAC","0763","BJ",320,"J","LFQQ",43997.70833333334,"DTTJ",43997.83680555555,9015,0.800000011920929,11072,3680,"2025-05-01T17:00:00.125Z"
"16/06/2020","EAC","0134","BJ",320,"J","DTTJ",43998.36805555555,"LFSB",43998.47222222222,7450,0.782000005245209,9506,3400,"2025-05-01T17:00:00.125Z"
"16/06/2020","EAC","0135","BJ",320,"J","LFSB",43998.51736111111,"DTTJ",43998.61805555555,7546,0.800000011920929,9437,3500,"2025-05-01T17:00:00.125Z"
"16/06/2020","EAC","0702","BJ",320,"J","DTTJ",43998.67361111111,"",43998.79166666666,9600,0.782999992370605,11017,4400,"2025-05-01T17:00:00.125Z"
"16/06/2020","EAC","0703","BJ",320,"J","",43998.84027777778,"DTTJ",43998.95833333334,7612,0.800000011920929,10490,3500,"2025-05-01T17:00:00.125Z"
"17/06/2020","EAC","0740","BJ",320,"J","DTTJ",43999.15625,"LFBO",43999.25694444445,6330,0.785000026226044,8469,3320,"2025-05-01T17:00:00.125Z"
"17/06/2020","EAC","0741","BJ",320,"J","LFBO",43999.29861111111,"DTTJ",43999.38888888889,11265,0.788999974727631,12208,7268,"2025-05-01T17:00:00.125Z"
"17/06/2020","EAC","0554","BJ",320,"J","DTTJ",43999.45833333334,"",43999.57291666666,4700,0.782000005245209,10943,4400,"2025-05-01T17:00:00.125Z"
"17/06/2020","EAC","0555","BJ",320,"J","",43999.60763888889,"DTTJ",43999.73263888889,11331,0.791000008583069,13363,6200,"2025-05-01T17:00:00.125Z"
"18/06/2020","EAC","2306","BJ",320,"C","DTTJ",44000.11111111111,"LOWW",44000.21875,4460,0.782999992370605,9692,3900,"2025-05-01T17:00:00.125Z"
"18/06/2020","EAC","2307","BJ",320,"C","LOWW",44000.27777777778,"DTTJ",44000.38541666666,7142,0.778999984264374,9464,3420,"2025-05-01T17:00:00.125Z"
"18/06/2020","EAC","0736","BJ",320,"J","DTTJ",44000.55416666667,"LFRS",44000.66388888889,8900,0.800000011920929,10540,4300,"2025-05-01T17:00:00.125Z"
"18/06/2020","EAC","0737","BJ",320,"J","LFRS",44000.73263888889,"DTTJ",44000.84791666667,7001,0.795000016689301,9866,3420,"2025-05-01T17:00:00.125Z"
"19/06/2020","EAC","7666","BJ",320,"C","DTTJ",44001.05555555555,"EPWA",44001.19097222222,11100,0.787999987602234,12167,4120,"2025-05-01T17:00:00.125Z"
"19/06/2020","EAC","7667","BJ",320,"C","EPWA",44001.26041666666,"DTTJ",44001.39930555555,8658,0.799000024795532,11038,3020,"2025-05-01T17:00:00.125Z"
"19/06/2020","EAC","0702","BJ",320,"J","DTTJ",44001.44791666666,"",44001.5625,9700,0.779999971389771,10586,3900,"2025-05-01T17:00:00.125Z"
"19/06/2020","EAC","0703","BJ",320,"J","",44001.61458333334,"DTTJ",44001.74652777778,8295,0.790000021457672,10453,3200,"2025-05-01T17:00:00.125Z"
"20/06/2020","EAC","2872","BJ",320,"C","DTTJ",44002.20486111111,"EDDP",44002.32291666666,8830,0.782000005245209,10105,4060,"2025-05-01T17:00:00.125Z"
